epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7634.14,0.97511,0.95517,1.35619,0.90141,0.77984,0.87391,0.61985,1.00302,0.87952,1.34028,0.005842,0.005842,0.005842
44,7827.81,0.97107,0.94514,1.3482,0.88333,0.7934,0.86826,0.6141,1.007,1.02486,1.33966,0.005743,0.005743,0.005743
45,8030.09,0.96849,0.92863,1.34968,0.88644,0.80976,0.8801,0.61793,1.00729,1.02755,1.3237,0.005644,0.005644,0.005644
46,8197.33,0.97343,0.94073,1.35057,0.86875,0.81627,0.87157,0.61848,0.98368,0.91538,1.3163,0.005545,0.005545,0.005545
47,8361.29,0.94765,0.90492,1.33221,0.87645,0.80344,0.87436,0.61778,1.00635,0.9383,1.32574,0.005446,0.005446,0.005446
48,8535.15,0.95365,0.90156,1.33349,0.89484,0.81257,0.88146,0.62644,1.00695,0.91637,1.33666,0.005347,0.005347,0.005347
49,8745.42,0.94493,0.90456,1.32223,0.89417,0.78233,0.87844,0.62996,0.97894,0.98026,1.31124,0.005248,0.005248,0.005248
50,8968.32,0.95096,0.89524,1.33531,0.88787,0.83147,0.89261,0.6411,0.98875,0.88094,1.32887,0.005149,0.005149,0.005149
51,9496.68,0.94089,0.89157,1.3178,0.89398,0.8287,0.88743,0.62757,0.98864,0.81126,1.31633,0.00505,0.00505,0.00505
52,10842.2,0.93932,0.86748,1.32334,0.89443,0.8239,0.8926,0.64589,0.96997,0.83753,1.31045,0.004951,0.004951,0.004951
53,11097.4,0.92331,0.86688,1.31314,0.88469,0.80921,0.88743,0.63084,0.97702,0.86969,1.31289,0.004852,0.004852,0.004852
54,11325.7,0.92627,0.85308,1.30596,0.8732,0.82073,0.88758,0.6311,0.97954,0.86968,1.3233,0.004753,0.004753,0.004753
55,11539.3,0.92635,0.85654,1.31939,0.90746,0.81356,0.90064,0.64526,0.98695,0.84477,1.3227,0.004654,0.004654,0.004654
56,11737.6,0.92466,0.85422,1.31732,0.9196,0.80872,0.89973,0.64555,0.96627,0.90602,1.30989,0.004555,0.004555,0.004555
57,11923.4,0.92181,0.85021,1.31173,0.88607,0.81179,0.89225,0.64732,0.97296,0.81879,1.3014,0.004456,0.004456,0.004456
58,12086.7,0.91131,0.828,1.29704,0.87444,0.83267,0.89377,0.64699,0.97724,0.8169,1.29924,0.004357,0.004357,0.004357
59,12265.1,0.91707,0.83695,1.29828,0.87573,0.84436,0.90009,0.65806,0.95822,0.86953,1.29307,0.004258,0.004258,0.004258
60,12462.8,0.91703,0.83448,1.30408,0.88874,0.83115,0.90331,0.65306,0.95396,0.76677,1.29744,0.004159,0.004159,0.004159
61,12659,0.90017,0.80973,1.29304,0.91934,0.81085,0.90251,0.65453,0.94421,0.83596,1.29096,0.00406,0.00406,0.00406
62,12851.6,0.89419,0.8096,1.29278,0.90647,0.81561,0.90221,0.65599,0.95136,0.74055,1.29098,0.003961,0.003961,0.003961
63,13042.8,0.89986,0.8126,1.28677,0.9008,0.82207,0.89792,0.65308,0.94902,0.74594,1.29223,0.003862,0.003862,0.003862
64,172.249,0.88194,0.78081,1.27343,0.89088,0.8249,0.9054,0.66228,0.94604,0.81154,1.28669,0.003763,0.003763,0.003763
65,342.861,0.88467,0.7944,1.27919,0.90523,0.82695,0.90855,0.66621,0.93015,0.78259,1.27778,0.003664,0.003664,0.003664
66,508.112,0.8759,0.7822,1.27362,0.90487,0.83359,0.90441,0.66055,0.93071,0.75865,1.28204,0.003565,0.003565,0.003565
67,727.76,0.87516,0.77784,1.27154,0.92205,0.82599,0.90752,0.6657,0.92927,0.74958,1.28001,0.003466,0.003466,0.003466
68,957.559,0.88268,0.77677,1.27776,0.88762,0.85486,0.90654,0.66492,0.92641,0.78694,1.28123,0.003367,0.003367,0.003367
69,1158.47,0.8751,0.77107,1.27196,0.91214,0.84756,0.90777,0.66578,0.93396,0.70719,1.29039,0.003268,0.003268,0.003268
70,1367.66,0.87042,0.76976,1.27151,0.92358,0.83906,0.90923,0.66591,0.9373,0.69952,1.29614,0.003169,0.003169,0.003169
71,1567.28,0.85894,0.75207,1.2634,0.92031,0.83846,0.91138,0.67109,0.91949,0.71692,1.2825,0.00307,0.00307,0.00307
72,1764.51,0.86811,0.76176,1.2682,0.9031,0.84171,0.90717,0.66859,0.92437,0.79502,1.28422,0.002971,0.002971,0.002971
73,1953.55,0.85888,0.73619,1.25518,0.91187,0.84472,0.91164,0.66643,0.92955,0.72071,1.28872,0.002872,0.002872,0.002872
74,2131.35,0.85986,0.74195,1.26034,0.92127,0.83732,0.91091,0.66906,0.93124,0.71956,1.28817,0.002773,0.002773,0.002773
75,2306.97,0.85777,0.74088,1.26151,0.90512,0.86055,0.91102,0.67258,0.93235,0.73283,1.29064,0.002674,0.002674,0.002674
76,2487.73,0.85285,0.72493,1.25046,0.93256,0.84208,0.91255,0.67118,0.93054,0.7741,1.2904,0.002575,0.002575,0.002575
77,2666.96,0.83893,0.72104,1.24701,0.93034,0.84197,0.91342,0.6712,0.9348,0.78718,1.29246,0.002476,0.002476,0.002476
78,2849.39,0.83495,0.71485,1.23893,0.92234,0.84328,0.90894,0.67147,0.9327,0.79271,1.29052,0.002377,0.002377,0.002377
79,3014.77,0.82153,0.69929,1.22864,0.93485,0.84065,0.91395,0.67228,0.93462,0.82224,1.29413,0.002278,0.002278,0.002278
80,3181.43,0.83697,0.7198,1.2419,0.91005,0.85482,0.91282,0.67413,0.93684,0.81757,1.29528,0.002179,0.002179,0.002179
81,199.859,0.77979,0.64612,1.20137,0.90122,0.8561,0.91609,0.67859,0.93656,0.81334,1.30049,0.00208,0.00208,0.00208
82,223.216,0.72585,0.59405,1.1691,0.91939,0.84275,0.91006,0.67689,0.94407,0.80269,1.31293,0.001981,0.001981,0.001981
83,430.317,0.77943,0.65285,1.20227,0.91041,0.85698,0.91263,0.67218,0.94544,0.80763,1.31497,0.001882,0.001882,0.001882
84,636.868,0.77341,0.64245,1.19878,0.92346,0.83533,0.91565,0.67659,0.93459,0.82378,1.30589,0.001783,0.001783,0.001783
85,835.756,0.7698,0.63433,1.19636,0.92357,0.84631,0.92015,0.67494,0.93668,0.79094,1.31141,0.001684,0.001684,0.001684
86,1035.35,0.77627,0.63896,1.19973,0.932,0.85499,0.92163,0.67594,0.93396,0.80703,1.30857,0.001585,0.001585,0.001585
87,1227.21,0.76818,0.62912,1.19358,0.93201,0.85693,0.92253,0.67676,0.93678,0.8072,1.31219,0.001486,0.001486,0.001486
88,1416.2,0.76467,0.62717,1.19349,0.92719,0.85317,0.92304,0.6779,0.93373,0.75344,1.30899,0.001387,0.001387,0.001387
89,1609.61,0.75096,0.61869,1.18756,0.92127,0.86216,0.91799,0.67824,0.93083,0.75504,1.30646,0.001288,0.001288,0.001288
90,1797.4,0.76241,0.62454,1.19209,0.91442,0.85817,0.91801,0.67656,0.92728,0.77603,1.30381,0.001189,0.001189,0.001189
91,1992.63,0.64948,0.37848,1.10764,0.939,0.83774,0.91565,0.67116,0.92861,0.83945,1.30566,0.00109,0.00109,0.00109
92,2146.26,0.63172,0.36075,1.09752,0.93645,0.84648,0.91614,0.67214,0.92462,0.84349,1.30431,0.000991,0.000991,0.000991
93,2300.1,0.63075,0.35156,1.0951,0.92951,0.8439,0.91429,0.67747,0.92143,0.87565,1.30371,0.000892,0.000892,0.000892
94,2455.4,0.61525,0.34832,1.08498,0.93036,0.85194,0.91537,0.67909,0.92226,0.87086,1.30721,0.000793,0.000793,0.000793
95,2619.02,0.60992,0.33829,1.08396,0.93332,0.84805,0.91637,0.68207,0.92181,0.89564,1.30449,0.000694,0.000694,0.000694
96,2772.29,0.6055,0.33441,1.07591,0.93376,0.83339,0.91399,0.6816,0.9218,0.90934,1.304,0.000595,0.000595,0.000595
97,2926.04,0.60265,0.32425,1.06991,0.92822,0.83989,0.91421,0.6797,0.92001,0.90376,1.30238,0.000496,0.000496,0.000496
98,3079.37,0.58631,0.32064,1.05472,0.92917,0.83491,0.91483,0.68034,0.918,0.88,1.29934,0.000397,0.000397,0.000397
99,3233.6,0.59049,0.31405,1.05689,0.9202,0.84283,0.91479,0.68032,0.91745,0.86804,1.29738,0.000298,0.000298,0.000298
100,3387.52,0.58473,0.31134,1.05282,0.92084,0.84486,0.91517,0.67955,0.91698,0.86501,1.29677,0.000199,0.000199,0.000199
